"CLI_NUM";"CLI_INTITULE";"CLI_SIRET";"CLI_IDENTIFIANT"
"ATLANTISLOCATION";"ATLANTIS LOCATION ";50150284300029;"FR32501502843  "
"NPSREUNION";"NPS REUNION";42913006500080;"FR96429130065  "
"NPSGUYANE";"NPS GUYANE";44762303400017;"FR47447623034  "
"GANAPATILOCATION";"GANAPATI LOCATION DE VOITURES";75166566200019;"FR71751665662  "
"FREDERICGARAGE";"GARAGE FREDERIC";52043550400029;"FR53520435504  "
"AGA";"ATELIER GARAGE AYASSAMY";82854581400018;"FR38828545814  "
"TOUTALOUER";"TOUTALOUER";48103214200020;"FR84481032142  "
"GEQUIP";"GEQUIP";38143419000025;"FR81381434190  "
"REUNITRUCKS";"REUNI TRUCKS";81765213400013;"FR44817652134  "
"FREGATEAUTO";"FREGATE AUTO";81825839400019;"FR74818258394  "
"MIDASMARTINIQUE";"ECHAPPEMENT ANTILLES SARL MIDAS ";33272396400018;"FR00332723964  "
"PLAISIRAUTOS";"PLAISIR AUTOS";51498124000019;"FR94514981240  "
"BULIARDSN";"GARAGE BULIARD SN";81811931500013;"FR34818119315 "
"TPAUTO";"GARAGE TOLERIE PEINTURE DU SUD";48983594200017;"FR33489835942  "
"ATELIERTERREROUGE";"ATELIER TERRE ROUGE";51975336200010;"FR36519753362  "
"KERN";"CARROSSERIE KERN";41069941700011;"FR92410699417  "
"SOFTLOCATION";"SOFT LOCATION";51330619100018;"FR32513306191  "
"CHROMATIC";"CHROMATIC";79388744900049;"FR19793887449  "
"PGF";"SARL PGF DUCATI FWI";48007903700036;"FR38480079037  "
"JLPAREBRISE";"JL PARE BRISE";84336311000019;"FR27843363110  "
"AUTOBAM";"AUTOBAM";53835934000022;"FR96538359340  "
"FRANCKGGE";"GARAGE FRANCK";47993854000016;"FR12479938540  "
"SOUALIGAAUTOPARTS";"SOUALIGA AUTO PARTS";84396858700017;"FR36843968587  "
"SAINTAMANDCLT";"SAS SAINT AMAND";62204415400053;"FR11622044154  "
"PATUROT";"GARAGE PATUROT";31908342400022;"FR61319083424  "
"AUTOEXPO";"SARL AUTO-EXPO";43986592400013;"FR84439865924  "
"RIVIEREDANYCLAUDE";"RIVIERE DANY CLAUDE";35377222100019;"FR02353772221  "
"CAYENNEAUTO";"CAYENNE AUTOMOBILE";49831649600021;"FR50498316496  "
"DUCOSAUTO";"DUCOS AUTO ENVIRONNEMENT";49858647800014;"FR46498586478  "
"FENUASERVICES";"FENUA SERVICES IMPORT";20003426200028;"FR76200034262 "
"JOHNNYMOTORS";"JOHNNY MOTORS";82537372300022;"FR47825373723  "
"SGYP";"SARL GARAGE YUSSUF PAUL";79845850100011;"FR91798458501  "
"INTERCARISLAND";"INTER CAR ISLAND";85011770600018;"FR30850117706  "
"PAVIUS";"GARAGE PAVIUS";35209195300013;"FR94352091953  "
"GILLESCARROSSERIE";"GILLES CARROSSERIE PEINTURE";53390622800010;"FR85533906228  "
"SOSPIECESAUTO";"SOS PIECES AUTO ABYMES";80497285900016;"FR90804972859  "
"SIXTANTILLESAUTO";"SIXT ANTILLES LOCATION FDF";79249309000023;"FR67792493090  "
"RAPIDOTO";"RAPIDOTO";80866682000028;"FR14808666820  "
"TOPLOC";"TOPLOC";80858372800015;"FR28808583728  "
"BLAJERLOCATION";"BLAJER LOCATION / CAR-GO";82415548500017;"FR02824155485  "
"PROFILAUTO";"PROFIL'AUTO";85042115700023;"FR38850421157  "
"CARCENTRE";"CAR CENTRE";2404706000017;"FR61024047060  "
"BMAPEINTURE";"BMA PEINTURE";88372683800013;"FR00883726838  "
"FORMULA";"FORMULA";44191350600024;"FR14441913506  "
"ELECTROCONCEPTCAR";"ELECTRO CONCEPT CAR";83962048100011;"FR84839620481  "
"REPAREMONLAUTO";"REPARE MON L'AUTO";84921017400017;"FR30849210174  "
"FRESHBLACKCARS";"FRESH BLACK CARS";85269756400015;"FR71852697564  "
"LASSONNIER";"GARAGE LASSONNIER";4430910120015;"FR83443091012  "
"CADENCEPLUSAUTO";"CADENCE PLUS AUTO";82315061000017;"FR40823150610  "
"MORNET";"GARAGE MORNET";48057568700011;"FR68480575687  "
"FAZER";"ATELIER FAZER";32272888200026;"FR73322728882  "
"AUTOFACILE";"AUTO FACILE";82037590500016;"FR77820375905  "
"SALLEDASILE";"SALLE D'ASILE CARROSSERIE";50294629600014;"FR20502946296 "
"GGEMONTGODIN";"GARAGE MONTGODIN BELLEVUE 2";33882995500016;"FR08338829955  "
"AMAZONEAUTO";"AMAZONE AUTO";88234117500017;"FR43882341175 "
"CLUNYCARO";"CLUNY CARO";81111944500013;"FR51811119445  "
"AUTOKARTSERVICE";"AUTO KART SERVICE";48755566600014;"FR33487555666  "
"ASPAINTCAR";"AS PAINT CAR";87749902000015;"FR07877499020  "
"TPAS";"TSARA PIECES AUTO ET SERVICES";82186048300014;"FR56821860483 "
